lat,long,elev,time
408627439,-778362327,3320,8.57
408627491,-778362292,3320,8.58
408627544,-778362259,3320,8.59
408627601,-778362224,3320,8.6
408627656,-778362191,3320,8.61
408627706,-778362154,3320,8.62
408627758,-778362116,3320,8.63
408627810,-778362082,3320,8.64
408627864,-778362045,3320,8.65
408627906,-778362012,3321,8.66
408627960,-778361982,3321,8.67
408628012,-778361948,3321,8.68
408628063,-778361914,3321,8.69
408628115,-778361880,3321,8.7
408628163,-778361848,3321,8.71
408628214,-778361815,3321,8.72
408628263,-778361784,3321,8.73
408628313,-778361753,3321,8.74
408628364,-778361725,3321,8.75
408628408,-778361694,3321,8.76
408628457,-778361667,3322,8.77
408628507,-778361640,3322,8.78
408628556,-778361616,3321,8.79
408628605,-778361587,3322,8.8
408628656,-778361563,3321,8.81
408628707,-778361542,3322,8.82
408628755,-778361525,3322,8.83
408628804,-778361505,3322,8.84
408628858,-778361480,3322,8.85
408628907,-778361457,3322,8.86
408628962,-778361442,3322,8.87
408629014,-778361427,3322,8.88
408629068,-778361415,3322,8.89
408629126,-778361403,3322,8.9
408629183,-778361389,3322,8.91
408629237,-778361377,3322,8.92
408629294,-778361366,3322,8.93
408629352,-778361358,3322,8.94
408629352,-778361358,3322,8.95
408629465,-778361349,3322,8.96
408629527,-778361347,3322,8.97
408629588,-778361343,3322,8.98
408629649,-778361341,3322,8.99
408629712,-778361341,3322,9
408629772,-778361347,3321,9.01
408629836,-778361359,3321,9.02
408629896,-778361363,3321,9.03
408629896,-778361363,3321,9.04
408629958,-778361368,3321,9.05
408630024,-778361375,3321,9.06
408630142,-778361402,3321,9.07
408630206,-778361422,3321,9.08
408630206,-778361422,3321,9.09
408630270,-778361440,3321,9.1
408630334,-778361455,3321,9.11
408630400,-778361475,3321,9.12
408630464,-778361504,3321,9.13
408630528,-778361532,3322,9.14
408630591,-778361556,3321,9.15
408630655,-778361582,3321,9.16
408630717,-778361604,3321,9.17
408630783,-778361641,3321,9.18
408630847,-778361673,3322,9.19
408630910,-778361705,3322,9.2
408630974,-778361737,3322,9.21
408631042,-778361772,3322,9.22
408631105,-778361805,3322,9.23
408631168,-778361840,3323,9.24
408631233,-778361874,3323,9.25
408631295,-778361913,3323,9.26
408631357,-778361946,3323,9.27
408631420,-778361985,3323,9.28
408631483,-778362022,3323,9.29
408631544,-778362057,3323,9.3
408631607,-778362091,3323,9.31
408631667,-778362131,3323,9.32
408631726,-778362168,3323,9.33
408631785,-778362207,3324,9.34
408631847,-778362241,3324,9.35
408631909,-778362274,3324,9.36
408631967,-778362311,3324,9.37
408632024,-778362354,3324,9.38
408632083,-778362390,3324,9.39
408632140,-778362419,3324,9.4
408632199,-778362450,3325,9.41
408632260,-778362478,3325,9.42
408632316,-778362518,3325,9.43
408632371,-778362560,3325,9.44
408632428,-778362593,3325,9.45
408632489,-778362621,3325,9.46
408632551,-778362649,3326,9.47
408632609,-778362679,3326,9.48
408632668,-778362711,3326,9.49
408632723,-778362748,3326,9.5
408632783,-778362780,3326,9.51
408632845,-778362808,3326,9.52
408632905,-778362837,3327,9.53
408632965,-778362866,3327,9.54
408633023,-778362900,3327,9.55
408633083,-778362931,3327,9.56
408633144,-778362957,3327,9.57
408633204,-778362978,3327,9.58
408633268,-778363003,3327,9.59
408633327,-778363031,3327,9.6
408633387,-778363059,3328,9.61
408633446,-778363083,3328,9.62
408633507,-778363105,3328,9.63
